,Group,Species,Subgroup,Taxonomic Domain,Expressed in Species,Secondary Bibliogrpahies,rcsb_entry_info_experimental_method,rcsb_entry_info_polymer_composition,rcsb_entry_info_selected_polymer_entity_types,symmetry_space_group_name_hm,diffrn_radiation_pdbx_scattering_type,diffrn_radiation_pdbx_monochromatic_or_laue_ml,exptl_method,diffrn_detector_detector,diffrn_source_source
385,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Outer Membrane Autotransporters,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
386,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Outer Membrane Autotransporters,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
387,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Outer Membrane Autotransporters,Bacteria,,,X-ray,homomeric protein,Protein (only),P 61 2 2,,,X-RAY DIFFRACTION,,
388,TRANSMEMBRANE PROTEINS: BETA-BARREL,Pseudomonas aeruginosa,Outer Membrane Autotransporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 4 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
389,TRANSMEMBRANE PROTEINS: BETA-BARREL,Shigella flexneri,Outer Membrane Autotransporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 62,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
390,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Outer Membrane Autotransporters,Bacteria,,,X-ray,homomeric protein,Protein (only),C 2 2 21,,,X-RAY DIFFRACTION,,
391,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Outer Membrane Autotransporters,Bacteria,,                      ,X-ray,heteromeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,ROTATING ANODE
392,TRANSMEMBRANE PROTEINS: BETA-BARREL,Yersinia pseudotuberculosis,Outer Membrane Autotransporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
393,TRANSMEMBRANE PROTEINS: BETA-BARREL,Yersinia pseudotuberculosis,Outer Membrane Autotransporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,SYNCHROTRON
394,TRANSMEMBRANE PROTEINS: BETA-BARREL,Yersinia enterocolitica subsp. enterocolitica 8081,Outer Membrane Autotransporters,Bacteria,E. coli,,NMR,homomeric protein,Protein (only),,,,SOLID-STATE NMR,,
395,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Outer Membrane Autotransporters,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
396,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli ETEC H10407,Outer Membrane Autotransporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
397,TRANSMEMBRANE PROTEINS: BETA-BARREL,Bordetella pertussis,Outer Membrane Autotransporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
398,TRANSMEMBRANE PROTEINS: BETA-BARREL,Acinetobacter baumannii,Outer Membrane Autotransporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
399,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Outer Membrane Autotransporters,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
400,TRANSMEMBRANE PROTEINS: BETA-BARREL,Burkholderia pseudomallei,Outer Membrane Autotransporters,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),H 3 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
401,TRANSMEMBRANE PROTEINS: BETA-BARREL,Bordetella pertussis,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
402,TRANSMEMBRANE PROTEINS: BETA-BARREL,Bordetella pertussis,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
403,TRANSMEMBRANE PROTEINS: BETA-BARREL,Thermosynechococcus elongatus,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),I 4 3 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
404,TRANSMEMBRANE PROTEINS: BETA-BARREL,Anabaena sp. PCC7120,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 63,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
405,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
406,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),I 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
407,TRANSMEMBRANE PROTEINS: BETA-BARREL,Neisseria gonorrhoeae,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
408,TRANSMEMBRANE PROTEINS: BETA-BARREL,Haemophilus ducreyi,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 2 21 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
409,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 21,,,X-RAY DIFFRACTION,CCD,
410,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 31 2 1,,,X-RAY DIFFRACTION,,
411,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,NMR,homomeric protein,Protein (only),,,,SOLUTION NMR,,
412,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 32 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
413,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
414,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
415,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
416,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),I 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
417,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),I 2 2 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
418,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 43 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
419,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),I 2 2 2,x-ray,M,X-RAY DIFFRACTION,IMAGE PLATE,SYNCHROTRON
420,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 43 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
421,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),I 2 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
422,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
423,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
424,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
425,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,NMR,homomeric protein,Protein (only),,,,SOLUTION NMR,,
426,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),H 3,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
427,TRANSMEMBRANE PROTEINS: BETA-BARREL,Rhodothermus marinus ,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),H 3,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
428,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
429,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 41 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
430,TRANSMEMBRANE PROTEINS: BETA-BARREL,Neisseria gonorrhoeae,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 43 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
431,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,NMR,homomeric protein,Protein (only),,,,SOLUTION NMR,,
432,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
433,TRANSMEMBRANE PROTEINS: BETA-BARREL,Neisseria gonorrhoeae,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 21 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
434,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),I 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
435,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
436,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
437,TRANSMEMBRANE PROTEINS: BETA-BARREL,Rhodothermus marinus,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
438,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 41 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
439,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 41 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
440,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,homomeric protein,Protein (only),P 31 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
441,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
442,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
443,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
444,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
445,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 41 21 2,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
446,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
447,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
448,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
449,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Omp85-TpsB Outer Membrane Transporter Superfamily,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
450,TRANSMEMBRANE PROTEINS: BETA-BARREL,Homo sapiens,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,E. coli,,NMR,homomeric protein,Protein (only),,,,SOLUTION NMR,,
451,TRANSMEMBRANE PROTEINS: BETA-BARREL,Homo sapiens,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 32 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
452,TRANSMEMBRANE PROTEINS: BETA-BARREL,Homo sapiens,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,E. coli,,NMR,homomeric protein,Protein (only),,,,SOLUTION NMR,,
453,TRANSMEMBRANE PROTEINS: BETA-BARREL,Homo sapiens,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,E. coli,,NMR,homomeric protein,Protein (only),,,,SOLID-STATE NMR,,
454,TRANSMEMBRANE PROTEINS: BETA-BARREL,Mus musculus,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,,,X-RAY DIFFRACTION,,
455,TRANSMEMBRANE PROTEINS: BETA-BARREL,Mus musculus,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
456,TRANSMEMBRANE PROTEINS: BETA-BARREL,Mus musculus,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,E. coli,,EM,homomeric protein,Protein (only),C 1 2 1,,,ELECTRON CRYSTALLOGRAPHY,,
457,TRANSMEMBRANE PROTEINS: BETA-BARREL,Danio rerio,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,E. coli,,X-ray,homomeric protein,Protein (only),P 32 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
458,TRANSMEMBRANE PROTEINS: BETA-BARREL,Neurospora crassa,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
459,TRANSMEMBRANE PROTEINS: BETA-BARREL,Saccharomyces cerevisiae,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
460,TRANSMEMBRANE PROTEINS: BETA-BARREL,Saccharomyces cerevisiae,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
461,TRANSMEMBRANE PROTEINS: BETA-BARREL,Saccharomyces cerevisiae,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,HEK293 cells,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
462,TRANSMEMBRANE PROTEINS: BETA-BARREL,Homo sapiens,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,HEK293 cells,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
463,TRANSMEMBRANE PROTEINS: BETA-BARREL,Homo sapiens,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,HEK293 cells,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
464,TRANSMEMBRANE PROTEINS: BETA-BARREL,Homo sapiens,Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,HEK293 cells,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
465,TRANSMEMBRANE PROTEINS: BETA-BARREL,Thermothelomyces thermophilus (Myceliophthora thermophila),Mitochondrial Outer Membrane Beta Barrel Proteins,Eukaryota,S. cerevisiae,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
466,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella enterica,Lipopolysaccharide (LPS) Transport Proteins,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),I 1 2 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
467,TRANSMEMBRANE PROTEINS: BETA-BARREL,Shigella flexneri,Lipopolysaccharide (LPS) Transport Proteins,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),C 1 2 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
468,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Lipopolysaccharide (LPS) Transport Proteins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 65 2 2,,,X-RAY DIFFRACTION,,
469,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Lipopolysaccharide (LPS) Transport Proteins,Bacteria,,,X-ray,homomeric protein,Protein (only),P 63 2 2,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
470,TRANSMEMBRANE PROTEINS: BETA-BARREL,Yersinia pestis,Lipopolysaccharide (LPS) Transport Proteins,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
471,TRANSMEMBRANE PROTEINS: BETA-BARREL,Klebsiella pneumoniae,Lipopolysaccharide (LPS) Transport Proteins,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),P 1 21 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
472,TRANSMEMBRANE PROTEINS: BETA-BARREL,Pseudomonas aeruginosa,Lipopolysaccharide (LPS) Transport Proteins,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),C 2 2 21,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
473,TRANSMEMBRANE PROTEINS: BETA-BARREL,Neisseria gonorrhoeae,Lipopolysaccharide (LPS) Transport Proteins,Bacteria,E. coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
474,TRANSMEMBRANE PROTEINS: BETA-BARREL,Bacteroides thetaiotaomicron,Polysaccharide Utilization Proteins,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 1,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
475,TRANSMEMBRANE PROTEINS: BETA-BARREL,Bacteroides thetaiotaomicron,Polysaccharide Utilization Proteins,Bacteria,,,X-ray,protein/oligosaccharide,Protein/Oligosaccharide,C 2 2 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
476,TRANSMEMBRANE PROTEINS: BETA-BARREL,Porphyromonas gingivalis,Polysaccharide Utilization Proteins,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
477,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Type II Secretion Systems,Bacteria,,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
478,TRANSMEMBRANE PROTEINS: BETA-BARREL,Vibrio cholerae,Type II Secretion Systems,Bacteria,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
479,TRANSMEMBRANE PROTEINS: BETA-BARREL,Klebsiella pneumoniae,Type II Secretion Systems,Bacteria,E.coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
480,TRANSMEMBRANE PROTEINS: BETA-BARREL,Enterobacteria phage f1,Type II Secretion Systems,Viruses,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
481,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella enterica,Type III Secretion Systems,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
482,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella enterica,Type III Secretion Systems,Bacteria,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
483,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella enterica,Type III Secretion Systems,Bacteria,E. coli,,X-ray,homomeric protein,Protein (only),P 1,x-ray,M,X-RAY DIFFRACTION,CCD,SYNCHROTRON
484,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella enterica,Type III Secretion Systems,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
485,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella enterica,Type III Secretion Systems,Bacteria,E. coli,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
486,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella typhimurium,Type III Secretion Systems,Bacteria,E. coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
487,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella typhimurium,Type III Secretion Systems,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
488,TRANSMEMBRANE PROTEINS: BETA-BARREL,Salmonella typhimurium,Type III Secretion Systems,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
489,TRANSMEMBRANE PROTEINS: BETA-BARREL,Shigella flexneri,Type III Secretion Systems,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
490,TRANSMEMBRANE PROTEINS: BETA-BARREL,Shigella flexneri,Type III Secretion Systems,Bacteria,,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
491,TRANSMEMBRANE PROTEINS: BETA-BARREL,Vibrio mimicus,Type III Secretion Systems,Bacteria,E. coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
492,TRANSMEMBRANE PROTEINS: BETA-BARREL,Pseudomonas savastanoi,Type III Secretion Systems,Bacteria,E. coli,,EM,heteromeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
493,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Type III Secretion Systems,Bacteria,,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
494,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Type III Secretion Systems,Bacteria,,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
495,TRANSMEMBRANE PROTEINS: BETA-BARREL,Yersinia enterocolitica,Type III Secretion Systems,Bacteria,E. coli,,X-ray,heteromeric protein,Protein (only),P 21 21 21,x-ray,M,X-RAY DIFFRACTION,PIXEL,SYNCHROTRON
496,TRANSMEMBRANE PROTEINS: BETA-BARREL,Escherichia coli,Type IV Secretion Systems,Bacteria,,,X-ray,heteromeric protein,Protein (only),P 21 21 2,,,X-RAY DIFFRACTION,,
497,TRANSMEMBRANE PROTEINS: BETA-BARREL,Helicobacter pylori,Type IV Secretion Systems,Bacteria,,,EM,homomeric protein,Protein (only),,,,ELECTRON MICROSCOPY,,
